avg_bikes_avail,time
8.407185908673478,0
8.409083698607095,1
8.409237637140555,2
8.410892546631992,3
8.412338558038817,4
8.404005641748956,5
8.336654320051014,6
8.14034949678624,7
8.006244546871692,8
8.040950033611688,9
8.134646355337477,10
8.142504667239553,11
8.13873295856426,12
8.188454793407136,13
8.194717964055911,14
8.128257928224166,15
8.012225732804684,16
7.867910223439474,17
7.971771776849259,18
8.167280940618346,19
8.27404655258091,20
8.358406116764591,21
8.390086597018463,22
8.400429378079203,23
